rank_nb2,rank_nb1,cid,smi_rdkit,inchikey,iupac,mw,logp,tpsa,n_hbd,n_hba,n_rotb,n_rings,n_aldehyde,n_ketone,n_electrophile,n_carbonyl,n_fluorine,n_alpha_h,qed,category,ani_energy,elec_proxy,method,conformer_ok,nb2_score
55,145,88415844,O=CC1CC1=O,AMOUPTGLIZFKLR-UHFFFAOYSA-N,2-oxocyclopropane-1-carbaldehyde,84.07399999999998,-0.2257,34.14,0,2,1,1,2,3,2,2,0,0,0.3247311662796263,Dialdehyde (cyclic),-305.1453552246094,13.727050163180948,ani2x_gasteiger,True,76.93418205579215
56,37,129657749,CCC(=O)CC(=O)CC=O,NSANIYIDZABQES-UHFFFAOYSA-N,"3,5-dioxoheptanal",142.154,0.5137,51.21,0,3,5,0,3,5,3,3,0,1,0.4149035132237414,Dialdehyde (aliphatic),-498.29534912109375,13.772123614552184,ani2x_gasteiger,True,76.74352005701405
57,11,76355,CCC(=O)CC(C)=O,NDOGLIPWGGRQCO-UHFFFAOYSA-N,"hexane-2,4-dione",114.144,0.9446,34.14,0,2,3,0,2,4,2,2,0,0,0.511617667997256,Dialdehyde (aliphatic),-385.01068115234375,13.80756693739259,ani2x_gasteiger,True,76.59359377956015
58,162,18364295,O=CC(S)C=O,DSNGMTQJPGQEEJ-UHFFFAOYSA-N,2-sulfanylpropanedial,104.13,-0.3173999999999999,34.14,1,3,2,0,2,2,2,2,0,0,0.2958442271745216,Dialdehyde (aliphatic),-665.2362060546875,13.937503487093162,ani2x_gasteiger,True,76.04395842822669
59,66,19705594,CC(C=O)(C=O)C=O,IJRGNHJKRWYCQD-UHFFFAOYSA-N,"ethane-1,1,1-tricarbaldehyde",114.09999999999998,-0.4106000000000001,51.21,0,3,3,0,3,3,3,3,0,0,0.369894579700311,Dialdehyde (aliphatic),-419.6653747558594,13.963895131126522,ani2x_gasteiger,True,75.93232101308853
60,46,21867985,CCC(C=O)(C=O)C=O,VBDFBUCXFMOPMW-UHFFFAOYSA-N,"propane-1,1,1-tricarbaldehyde",128.12699999999998,-0.0204999999999999,51.21,0,3,4,0,3,3,3,3,0,0,0.3946169802165014,Dialdehyde (aliphatic),-458.970458984375,13.991429332873976,ani2x_gasteiger,True,75.81585054587956
61,39,20505731,CCCC(C=O)(C=O)C=O,LWGYEWGUWGFLAZ-UHFFFAOYSA-N,"butane-1,1,1-tricarbaldehyde",142.15399999999997,0.3695999999999999,51.21,0,3,5,0,3,3,3,3,0,0,0.4113185958574176,Dialdehyde (aliphatic),-498.27490234375,13.99250669301314,ani2x_gasteiger,True,75.81129328143035
62,67,21265496,CC(=O)C(C=O)C=O,OKFAIMCETXZHTR-UHFFFAOYSA-N,2-acetylpropanedial,114.09999999999998,-0.4106000000000001,51.21,0,3,3,0,3,4,3,3,0,0,0.369894579700311,Dialdehyde (aliphatic),-419.67706298828125,14.028885677300917,ani2x_gasteiger,True,75.65740912907873
63,161,22075560,O=CC(C=O)CC(C=O)C=O,ILCCJWVCVFQXJR-UHFFFAOYSA-N,"propane-1,1,3,3-tetracarbaldehyde",156.13699999999997,-0.5955000000000001,68.28,0,4,6,0,4,4,4,4,0,0,0.3802591877726369,Dialdehyde (aliphatic),-572.2576904296875,12.968809865010812,ani2x_gasteiger,True,75.64156037729066
64,179,20573951,O=CC(C=O)SS,FYAYOJTZEWVKPG-UHFFFAOYSA-N,2-(disulfanyl)propanedial,136.19700000000003,0.3308,34.14,1,4,3,0,2,2,2,2,0,0,0.2626313583822451,Dialdehyde (aliphatic),-1063.3560791015625,14.051816615156977,ani2x_gasteiger,True,75.56041060084348
65,68,3593277,CCC(=O)C(=O)[O-],TYEYBOSBBBHJIV-UHFFFAOYSA-M,2-oxobutanoate,101.081,-1.2846,57.2,0,3,2,0,2,1,2,2,0,0,0.406706301388445,Dialdehyde (aliphatic),-380.99560546875,14.249404388328973,ani2x_gasteiger,True,74.72460862382587
